instrument_key,exchange_token,"SYMBOL 
",name,last_price
NSE_EQ|INE550C01020,20203,URJA,URJA GLOBAL LIMITED,22.03
NSE_EQ|INE982F01036,18154,HATHWAY,HATHWAY CABLE & DATACOM,22.27
NSE_EQ|INE142I01023,14917,TAKE,TAKE SOLUTIONS LTD,22.32
NSE_EQ|INE281A01026,11511,CENTEXT,CENTURY EXTRUSIONS LTD,22.4
NSE_EQ|INE619I01012,20910,A2ZINFRA,A2Z INFRA ENGINEERING LTD,22.88
NSE_EQ|INE306C01019,15049,ENERGYDEV,ENERGY DEVE. CO.LTD,22.95
NSE_EQ|INE440L01017,25486,TIJARIA,TIJARIA POLYPIPES LTD,23.22
NSE_EQ|INE954E01012,29423,MOHITIND,MOHIT INDUSTRIES LTD,23.27
NSE_EQ|INE670X01014,21713,LASA,LASA SUPERGENERICS LTD,23.38
NSE_EQ|INE325D01025,16859,SINDHUTRAD,SINDHU TRADE LINKS LTD,23.4
NSE_EQ|INE00Y801016,2176,AKG,AKG EXIM LIMITED,23.48
NSE_EQ|INE06IR01021,12643,OSIAHYPER,OSIA HYPER RETAIL LIMITED,23.62
NSE_EQ|INE573R01012,10836,SEYAIND,SEYA INDUSTRIES LIMITED,23.69
NSE_EQ|INE528G01035,11915,YESBANK,YES BANK LIMITED,23.8
NSE_EQ|INE879A01019,7634,SHREERAMA,SHREE RAMA MULTI TECH LTD,23.98
NSE_EQ|INE278G01037,11845,CYBERMEDIA,CYBER MEDIA (INDIA) LTD.,23.99
NSE_EQ|INE051B01021,13342,VAKRANGEE,VAKRANGEE LIMITED,24.09
NSE_EQ|INE040M01013,25082,TREEHOUSE,TREE HOUSE EDU LTD,24.4
NSE_EQ|INE024D01016,20528,PRUDMOULI,PRUDENTIAL SUGAR CORPORAT,24.47
NSE_EQ|INE740X01023,14924,LAL,LORENZINI APPARELS LTD,24.5
NSE_EQ|INE722J01012,20950,RKDL,RAVI KUMAR DIST. LTD.,24.71
NSE_EQ|INE173A01025,11297,SIL,STANDARD INDUSTRIES LTD.,24.73
NSE_EQ|INE227G01018,14952,INDOWIND,INDOWIND ENERGY LTD,25.05
NSE_EQ|INE197A01024,1802,JYOTISTRUC,JYOTI STRUCTURES LTD,25.55
NSE_EQ|INE273D01019,13771,AARVEEDEN,AARVEE DEN. & EXP. LTD,25.66
NSE_EQ|INE102A01024,5121,HLVLTD,HLV LIMITED,25.87
NSE_EQ|INE731A01020,5688,ARCHIES,ARCHIES LTD,26.07
NSE_EQ|INE03RS01027,2645,DRCSYSTEMS,DRC SYSTEMS INDIA LIMITED,26.11
NSE_EQ|INE875R01011,10181,BALKRISHNA,BALKRISHNA PAPER MILLS L,26.22
NSE_EQ|INE553C01016,13522,NECCLTD,NORTH EAST CARRY CORP LTD,26.24
NSE_EQ|INE792B01012,11496,AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,26.28
NSE_EQ|INE625B01014,2837,RANASUG,RANA SUGARS LTD.,26.38
NSE_EQ|INE217G01035,3553,EQUIPPP,EQUIPPP SOC IMP TECH LTD,26.6
NSE_EQ|INE00IK01029,14310,OSWALSEEDS,SHREEOSWAL S AND CHE LTD,26.71
NSE_EQ|INF109KC16V9,30392,NIF100IETF,ICICI PRUD NIFTY 100 ETF,26.9
NSE_EQ|INE752G01015,11919,MSPL,MSP STEEL & POWER LTD.,27.01
NSE_EQ|INE226H01026,13240,SADBHAV,SADBHAV ENGINEERING LTD,27.1
NSE_EQ|INE501G01024,11979,HTMEDIA,HT MEDIA LIMITED,27.14
NSE_EQ|INE642Z01026,14890,AKI,AKI INDIA LIMITED,27.2
NSE_EQ|INE942G01012,11943,MCLEODRUSS,MCLEOD RUSSEL INDIA LTD.,27.23
NSE_EQ|INE03JI01017,10358,DGCONTENT,DIGICONTENT LIMITED,27.32
NSE_EQ|INE645W01026,9897,AIRAN,AIRAN LIMITED,27.67
NSE_EQ|INE270A01029,17675,ALOKINDS,ALOK INDUSTRIES LIMITED,27.72
NSE_EQ|INE683A01023,5948,SOUTHBANK,THE SOUTH INDIAN BANK LTD,27.84
NSE_EQ|INE976T01013,8175,SAGARDEEP,SAGARDEEP ALLOYS LIMITED,28.32
NSE_EQ|INE583R01029,5292,PRITIKAUTO,PRITIKA AUTO INDUS LTD,28.78
NSE_EQ|INE735M01018,27303,SAMPANN,SAMPANN UTPADAN INDIA LTD,29
NSE_EQ|INE505C01016,13945,PRAENG,PRAJAY ENG. SYN. LTD.,29.02
NSE_EQ|INE190H01024,13251,SAKUMA,SAKUMA EXPORTS LIMITED,29.15
NSE_EQ|INE754A01055,967,SUBEXLTD,SUBEX LTD,29.3
NSE_EQ|INE453B01029,31138,COMPUSOFT,COMPUCOM SOFTWARE LTD,29.32
NSE_EQ|INE04AK01028,6792,SBC,SBC EXPORTS LIMITED,29.32
NSE_EQ|INE060B01014,9641,KHANDSE,KHANDWALA SECURITIES LTD,29.57
NSE_EQ|INE00SZ01018,6764,MARSHALL,MARSHALL MACHINES LTD,29.72
NSE_EQ|INE362A01016,4010,PVP,PVP VENTURES LIMITED,29.82
NSE_EQ|INE859Q01017,7420,MANAKALUCO,MANAK ALUMINIUM CO. LTD.,29.83
NSE_EQ|INE614G01033,15259,RPOWER,RELIANCE POWER LTD.,31.08
NSE_EQ|INE060J01017,25516,FLEXITUFF,FLEXITUFF VENTURES INT L,31.52
NSE_EQ|INE123B01028,14702,NAGREEKEXP,NAGREEKA EXPORTS LTD.,31.54
NSE_EQ|INE483S01020,16249,INFIBEAM,INFIBEAM AVENUES LIMITED,31.71
NSE_EQ|INE778A01021,25194,TECHIN,TECHINDIA NIRMAN LIMITED,31.84
NSE_EQ|INE970N01027,19372,SPCENET,SPACENET ENTERS IND LTD,31.86
NSE_EQ|INE590L01019,25344,VASWANI,VASWANI IND LTD,31.95
NSE_EQ|INE626Z01029,8962,HARDWYN,HARDWYN INDIA LIMITED,31.96
NSE_EQ|INE014B01011,3453,TECILCHEM,TECIL CHEMICALS,32.17
NSE_EQ|INE424C01010,1142,GINNIFILA,GINNI FILAMENTS LTD,32.61
NSE_EQ|INE195N01013,28859,PROZONER,PROZONE REALTY LIMITED,32.7
NSE_EQ|INE023H01027,11927,NECLIFE,NECTAR LIFESCIENCES LTD.,33.22
NSE_EQ|INE801V01019,6568,LAXMICOT,LAXMI COTSPIN LIMITED,33.4
NSE_EQ|INE844A01013,8188,PEARLPOLY,PEARL POLYMERS LTD,33.53
NSE_EQ|INE0PSC01024,21256,DIGIDRIVE,DIGIDRIVE DISTRIBUTORS L,33.66
NSE_EQ|INE748T01016,14612,SIMBHALS,SIMBHAOLI SUGARS LTD.,33.71
NSE_EQ|INE143A01010,471,OSWALGREEN,OSWAL GREENTECH LIMITED,33.82
NSE_EQ|INE0CG401037,22980,MUKKA,MUKKA PROTEINS LIMITED,33.92
NSE_EQ|INE737W01013,13510,AKASH,AKASH INFRA-PROJECTS LTD,34.12
NSE_EQ|INE450G01024,14843,VIPCLOTHNG,VIP CLOTHING LIMITED,34.24
NSE_EQ|INE047O01014,29733,NIBL,NRB INDUS. BEARINGS LTD.,34.28
NSE_EQ|INE543V01017,11779,ACEINTEG,ACE INTEGRATED SOLU. LTD.,34.41
NSE_EQ|INE927C01020,16683,DIGISPICE,DIGISPICE TECHNOLOGIES LT,34.76
NSE_EQ|INE01II01013,2492,SILGO,SILGO RETAIL LIMITED,34.95
NSE_EQ|INE613B01010,9610,ICDSLTD,ICDSLTD,35.25
NSE_EQ|INE314C01013,9104,SOMATEX,SOMA TEXTILEI NDUSTRIES L,35.37
NSE_EQ|INE440A01010,206,ASHIMASYN,ASHIMA LTD,35.73
NSE_EQ|INE253A01025,21676,HINDMOTORS,HINDUSTAN MOTORS LIMITED,35.97
NSE_EQ|INF209KB14K7,10693,MOMENTUM,BIRLASLAMC - MOMENTUM,36.06
NSE_EQ|INE02AR01019,3732,ANMOL,ANMOL INDIA LIMITED,36.2
NSE_EQ|INE383H01017,13355,MALUPAPER,MALU PAPER MILLS LIMITED,36.25
NSE_EQ|INF209KB11D8,6462,TECH,BIRLASLAMC - TECH,36.29
NSE_EQ|INE861B01023,2268,MOTOGENFIN,MOTOR & GENERAL FINANCE L,36.83
NSE_EQ|INE539B01017,15295,VIRINCHI,VIRINCHI LIMITED,36.87
NSE_EQ|INE813V01022,22360,MCL,MADHAV COPPER LIMITED,37.23
NSE_EQ|INE730A01022,10159,ORICONENT,ORICON ENTERPRISES LTD,37.24
NSE_EQ|INE650K01021,11062,SECURKLOUD,SECUREKLOUD TECH LIMITED,38.3
NSE_EQ|INE818B01023,6045,PASUPTAC,PASUPATI ACRYLON LIMITED,38.37
NSE_EQ|INE272L01022,21081,SURANASOL,SURANA SOLAR LIMITED,38.48
NSE_EQ|INE277C01012,9051,REGENCERAM,REGENCYCERAMICS-LTD,38.67
NSE_EQ|INE520H01022,17933,BEARDSELL,BEARDSELL LIMITED,38.73
NSE_EQ|INE591A01010,8109,OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,38.77
NSE_EQ|INE210A01017,3772,WILLAMAGOR,WILLIAMSON MAGOR,39.58
NSE_EQ|INE623A01011,2969,SAKHTISUG,SAKTHI SUGARS LTD,39.62
NSE_EQ|INE500X01013,14459,LEXUS,LEXUS GRANITO (INDIA) LTD,39.64
NSE_EQ|INE285H01022,13582,ATLANTAA,ATLANTAA LIMITED,39.65
NSE_EQ|IN9175A01010,25684,JISLDVREQS,JAIN DVR EQUITY SHARES,39.72
